gorgiasdomain,executionid,timestamp,summarize_question,automated,processed_question,cluster,summary_question
ekster,954479e3-dd05-4170-aaf6-ec142a468311,2024-06-08T19:37:02.746000,"""How can I have an item engraved that was supposed to have customization but arrived without it?""",True,item engraved supposed customization arrived without,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,3e7e1e03-801f-4a81-bc1d-b6f53001181e,2024-06-08T19:34:20.377000,"""Can you please assist me on a replacement for my wallet that is coming apart at the stitch?""",False,please assist replacement wallet coming apart stitch,8,How do I get a replacement or repair for my malfunctioning or defective Ekster wallet?
ekster,adea5c08-b877-4c61-a7ed-ef1477e9c01a,2024-06-08T19:29:29.984999,"""What should I do to resolve the issue of receiving a package that wasn't sealed properly and contained only one wallet instead of two?""",False,resolve issue receiving package sealed properly contained one wallet instead two,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,6e76dacd-2311-4733-8f90-222acc75d086,2024-06-08T19:29:29.181999,"""Why was the free item not included at checkout despite it appearing as a choice during placing the order?""",True,free item included checkout despite appearing choice placing order,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,017336e5-6b2c-4d41-b33f-bcce4ef47fd0,2024-06-08T19:25:56.283999,"""I received an incomplete order with only one wallet instead of two, what should I do now?""",True,received incomplete order one wallet instead two,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
ekster,4e88bef3-ec2c-48c1-8a5c-f1da277f319a,2024-06-08T19:23:16.885999,"""What should I do if my package is delivered open with missing contents?""",False,package delivered open missing contents,3,How can I get assistance with a missing or incorrectly delivered package?
ekster,7f25ef31-844e-428b-b0f5-3e60b3691033,2024-06-08T19:15:48.750000,"""Do these items work in vehicles?""",True,items work vehicles,2,What are the steps to return an item and get a refund for a recent order?
ekster,7f25ef31-844e-428b-b0f5-3e60b3691033,2024-06-08T19:15:48.750000,"""How are these items powered?""",True,items powered,2,What are the steps to return an item and get a refund for a recent order?
ekster,adbbd5c0-7bae-455f-9da6-e853fa914a29,2024-06-08T19:00:04.858999,"""What is the status of my order and when will it arrive?""",True,status order arrive,9,"How can I check the status or modify my order, including delivery and promotional issues?"
ekster,1a83ff7e-ca89-4462-9fdf-e5fd4c66c4ef,2024-06-08T18:47:35.463999,"""How should I proceed after receiving an empty package that was supposed to contain the wallet I ordered?""",False,proceed receiving empty package supposed contain wallet ordered,1,How can I resolve issues with incorrect or incomplete wallet orders and unwanted emails?
