gorgiasdomain,executionid,timestamp,summarize_question,automated,processed_question,cluster,summary_question
psychobunny,bdbd193c-e461-4625-a3c5-7e7c43575001,2024-06-08T18:42:44.201999,"""Why did my order not arrive?""",False,order arrive,5,What is the status of my order and why haven't I received all items?
psychobunny,3536e8fc-cd9c-4f34-8c59-8c196a307979,2024-06-08T18:38:13.128000,"""How can I apply a welcome discount to my order after purchase?""",False,apply welcome discount order purchase,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,3508e5df-bbd7-40f5-a52c-a483169c80a3,2024-06-08T18:28:23.335000,"""Can the store apply a missed 10% discount code to my recent order or do I have to cancel and reorder to use it?""",False,store apply missed 10 discount code recent order cancel reorder use,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,000197ed-2ad5-45f3-93e7-5f914cb77706,2024-06-08T18:18:33.469000,"""What is the status of the missing and incorrectly sent items from my order?""",False,status missing incorrectly sent items order,2,Can you provide an update on the status and issues related to my recent order?
psychobunny,9265a05e-595e-4ab2-864c-d81132a4fbe9,2024-06-08T18:01:21.464999,"""Why isn't the website accepting my UK postcode when I try to place an order?""",False,website accepting uk postcode try place order,1,How can I update the shipping address or resolve delivery issues for my recent order?
psychobunny,85794354-050d-49d8-9e10-5b0af3d2921a,2024-06-08T18:01:19.549000,"""How should I proceed with returning the incorrect items that were sent due to a mix-up?""",True,proceed returning incorrect items sent due,6,How can I proceed with returning or exchanging an item when the online system doesn't recognize my order?
psychobunny,70f2541f-555c-4303-b3fb-5b9dd7e68ee0,2024-06-08T17:53:07.134999,"""Do you have any available coupons?""",False,available coupons,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,94f989de-f43e-48d0-a60f-ce369e732916,2024-06-08T17:44:50.546999,"""Can someone please check on the status of my order that was partially received?""",True,someone please check status order partially received,5,What is the status of my order and why haven't I received all items?
psychobunny,1ee6d1c9-45c8-42e6-ab8a-64da4f8fec42,2024-06-08T17:44:43.075999,"""Why have I not received my complete order that was marked as shipped?""",True,received complete order marked shipped,5,What is the status of my order and why haven't I received all items?
psychobunny,29caf4cd-e5e3-4400-95ad-5b9135a03bfb,2024-06-08T17:35:54.157000,"""What is the status of my undelivered item?""",False,status undelivered item,0,How can I track and resolve issues with undelivered or missing packages using provided tracking numbers?
psychobunny,31e24d99-9fd8-47dd-8c70-4c07c8712b4f,2024-06-08T17:35:35.637000,"""What should I do if I've checked everywhere and still can't find the missing items from my order?""",True,checked everywhere still ca find missing items order,2,Can you provide an update on the status and issues related to my recent order?
psychobunny,596357f2-0773-4c0b-9484-9f192a4631ac,2024-06-08T17:34:29.229000,"""Can I return an item if I received the wrong one and get the correct item sent to me?""",True,return item received wrong one get correct item sent,6,How can I proceed with returning or exchanging an item when the online system doesn't recognize my order?
psychobunny,b9eb9467-0b03-4a4f-80e7-fb58d71e5337,2024-06-08T17:17:57.167000,"""Can I receive credit for a different size of a shirt I bought which is too large?""",False,receive credit different size shirt bought large,4,"How can I resolve issues with incorrect, missing, or exchanged shirt sizes in my order?"
psychobunny,93e3b27e-838c-456c-a414-32ec4307a9aa,2024-06-08T16:59:04.055999,"""How can I cancel my order?""",False,cancel order,2,Can you provide an update on the status and issues related to my recent order?
psychobunny,63ef0cc7-702d-4283-bea7-04ef161b8a85,2024-06-08T16:43:23.305000,"""Why have I not received two items from my order?""",False,received two items order,5,What is the status of my order and why haven't I received all items?
psychobunny,13fc8f94-e988-456f-957a-658bd9b8eed3,2024-06-08T16:30:55.953000,"""Why am I missing items from my order?""",True,missing items order,2,Can you provide an update on the status and issues related to my recent order?
psychobunny,68174aea-9a73-4065-b696-aa97f26778ce,2024-06-08T16:29:53.614000,"""Why was only a partial refund processed for a return instead of the full amount?""",False,partial refund processed return instead full amount,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,68174aea-9a73-4065-b696-aa97f26778ce,2024-06-08T16:29:53.614000,"""How can I get a refund if my credit card transaction didn't go through?""",False,get refund credit card transaction go,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,2142d0c5-77d2-4ff4-b284-fd4f22d1bcbc,2024-06-08T16:18:09.746999,"""Why haven't I received my order yet?""",False,received order yet,5,What is the status of my order and why haven't I received all items?
psychobunny,a30dc74c-de13-4d70-9313-ec576a11ef44,2024-06-08T16:14:09.835000,"""How do I update my shipping address for an order I just placed?""",False,update shipping address order placed,1,How can I update the shipping address or resolve delivery issues for my recent order?
psychobunny,699a1aaf-d8b5-40c7-b7a7-db152c0e529c,2024-06-08T16:10:24.365999,"""Why haven't I received my refund of 9 dollars yet?""",False,received refund 9 dollars yet,3,"How can I receive or apply refunds, discounts, or exchanges for my recent online order?"
psychobunny,a0183ccf-fcc2-41bb-8789-e8c50e379ea2,2024-06-08T16:08:35.134999,"""Why does my package show delivered when I did not receive it?""",True,package show delivered receive,5,What is the status of my order and why haven't I received all items?
psychobunny,41765b43-d3d4-4269-bc99-d191484c21c9,2024-06-08T15:58:48.121999,"""Where is my package?""",True,package,5,What is the status of my order and why haven't I received all items?
