gorgiasdomain,executionid,timestamp,summarize_question,automated
ekster,954479e3-dd05-4170-aaf6-ec142a468311,2024-06-08T19:37:02.746000,"""How can I have an item engraved that was supposed to have customization but arrived without it?""",true
ekster,3e7e1e03-801f-4a81-bc1d-b6f53001181e,2024-06-08T19:34:20.377000,"""Can you please assist me on a replacement for my wallet that is coming apart at the stitch?""",false
ekster,adea5c08-b877-4c61-a7ed-ef1477e9c01a,2024-06-08T19:29:29.984999,"""What should I do to resolve the issue of receiving a package that wasn't sealed properly and contained only one wallet instead of two?""",false
ekster,6e76dacd-2311-4733-8f90-222acc75d086,2024-06-08T19:29:29.181999,"""Why was the free item not included at checkout despite it appearing as a choice during placing the order?""",true
ekster,017336e5-6b2c-4d41-b33f-bcce4ef47fd0,2024-06-08T19:25:56.283999,"""I received an incomplete order with only one wallet instead of two, what should I do now?""",true
ekster,4e88bef3-ec2c-48c1-8a5c-f1da277f319a,2024-06-08T19:23:16.885999,"""What should I do if my package is delivered open with missing contents?""",false
ekster,7f25ef31-844e-428b-b0f5-3e60b3691033,2024-06-08T19:15:48.750000,"""Do these items work in vehicles?""",true
ekster,7f25ef31-844e-428b-b0f5-3e60b3691033,2024-06-08T19:15:48.750000,"""How are these items powered?""",true
ekster,adbbd5c0-7bae-455f-9da6-e853fa914a29,2024-06-08T19:00:04.858999,"""What is the status of my order and when will it arrive?""",true
ekster,1a83ff7e-ca89-4462-9fdf-e5fd4c66c4ef,2024-06-08T18:47:35.463999,"""How should I proceed after receiving an empty package that was supposed to contain the wallet I ordered?""",false
ekster,f2e76acf-8921-474c-a0ad-81ed4725d0d6,2024-06-08T18:43:33.341000,"""What should I do if I received an empty package?""",true
ekster,de31d329-aaab-4780-839e-7f6422d810f0,2024-06-08T18:34:56.993000,"""What can I do if my newly received wallet appears used and has a stiff pop-up mechanism?""",true
ekster,2f50e64c-a4b6-4b9b-a387-7e1499022682,2024-06-08T18:30:27.154999,"""Where is my order?""",true
ekster,e1451d1e-2f0f-447c-9393-fb5ca377b009,2024-06-08T18:14:43.778000,"""Is the wallet color I received incorrect, or is the website's image misleading?""",true
ekster,6ec82cbe-043b-4f9c-99ac-dd348a3c1c1f,2024-06-08T16:55:12.016999,"""How can I apply a missed promotional code to my already placed order?""",false
ekster,a6585bdc-2382-4284-bfc1-7c52ea313a4e,2024-06-08T16:15:22.392999,"""How do I obtain a return label for an item I've started the return process for?""",false
ekster,82687633-5d9f-4252-b997-0a5b4cc8c0b5,2024-06-08T16:04:39.302000,"""Can you change the capitalization of the last name on my order to be correct?""",false
ekster,df9923a2-e2e7-418a-b858-9ff53f085c6f,2024-06-08T16:02:24.512000,"""What is the status of my support request?""",true
ekster,eaec9513-6e33-405a-8073-5fc493b220b9,2024-06-08T15:12:04.312000,"""Why was my tracking number not recognized by the email tracking service?""",true
ekster,7b7eb9b0-10b0-4f31-926a-fbe411dcf372,2024-06-08T14:53:30.131000,"""How can I get assistance for a wallet from a bundle where the card ejection button is no longer working?""",true
ekster,9c294ab3-7a3b-4828-8df1-d69241d1e944,2024-06-08T14:42:11.167000,"""What options do you offer for a Dad that doesn't have an iPhone, considering all bundles seem to include apple finder cards?""",false
ekster,18555ea9-2170-4832-8719-e300ec4d67ca,2024-06-08T14:40:58.862999,"""What should I do if a part of my wallet broke after dropping it?""",true
ekster,e01d7451-e83e-4c01-9bbb-90475cc58eac,2024-06-08T14:17:39.552000,"""How can I repair or replace my wallet if the button has stopped working and a plastic tab fell out?""",true
ekster,e01d7451-e83e-4c01-9bbb-90475cc58eac,2024-06-08T14:17:39.552000,"""What can I do if the Returns & Warranty Portal does not recognize my order number for a warranty claim?""",true
ekster,5f65ff9b-1ea9-43cd-a531-f270cdb5392b,2024-06-08T13:52:15.944000,"""How do I get a refund for my malfunctioning wallet that is under a year old?""",true
ekster,5f65ff9b-1ea9-43cd-a531-f270cdb5392b,2024-06-08T13:52:15.944000,"""Will the shipping costs be covered for the return of my defective wallet?""",true
ekster,be4de321-ab95-4c68-baa1-559522fa4d37,2024-06-08T13:45:55.180000,"""When is my package expected to arrive?""",true
ekster,bc5aceed-3e28-4b12-85d1-a521f5312f43,2024-06-08T13:33:58.779999,"""What is the process to repair or replace a wallet that has a malfunctioning card fan-out button?""",true
ekster,8aeacc52-1cce-4da8-b77c-8bfaabee22f0,2024-06-08T13:30:13.871000,"""Why am I receiving multiple daily emails after searching your website?""",false
ekster,7a1760dc-412a-442c-b8aa-aa721a391a3a,2024-06-08T13:26:18.729000,"""How do I change the shipping address for my recent order to my billing address?""",false
ekster,d197c71f-5c56-4d34-be2f-d1becabfb1d0,2024-06-08T13:10:43.779999,"""Why was my tracking number considered invalid when I submitted it?""",true
ekster,33dbacb1-f007-404b-9cdf-14c603a9507e,2024-06-08T12:36:55.253000,"""Why hasn't my package arrived even though it was shipped?""",true
ekster,51815e8a-85b8-48e4-ab37-2511331a6d02,2024-06-08T11:29:00.713999,"""What can be done if the cardholder mechanism in my wallet is not functioning properly, even after adhering to the recommended card limit and cleaning suggestions?""",false
ekster,14adcaac-fdd0-475a-b1ce-604c3678e4f8,2024-06-08T11:26:18.648999,"""Why does my card fall out of the wallet?""",true
ekster,d18329b4-d6f7-4fef-8721-98894f1cc9e5,2024-06-08T10:41:27.678999,"""How can I cancel my order and get a refund if it hasn't been delivered within the expected timeframe?""",false
ekster,21afbd4d-b561-43d9-866b-a728513bfb25,2024-06-08T10:37:18.812000,"""How can I change the color of an item in my order?""",false
ekster,6fe63ea7-a67e-44d0-88a0-f4e374b05eac,2024-06-08T08:21:17.002000,"""Can you update my shipping address to 1545 Wigwam Pkwy Henderson NV 89074 apt 1321?""",false
ekster,42dc3bf6-d4d5-47fc-bf87-f635acc33b47,2024-06-08T05:46:00.926000,"""Can you cancel my order?""",false
ekster,4c3ba0d8-c1b4-4710-a033-ead58935ce13,2024-06-08T04:39:07.555999,"""Can I get a refund for the duplicate charges on my order?""",false
ekster,ccbac8b3-095c-4917-84ae-60a9c23ef2e2,2024-06-08T04:36:53.720999,"""What can be done about my replacement item that was reported as delivered but was not found in my mailbox?""",true
ekster,f56b3af0-db13-4b9a-a682-2a0ee89430d9,2024-06-08T04:20:42.316999,"""Can I get a replacement for a tracker that won't hold a charge?""",true
ekster,5e395cc3-0b6e-4ce1-86d5-b749ed0ab523,2024-06-08T03:26:35.644999,"""Can I order a replacement item and return the original one for a refund instead of doing an exchange?""",true
ekster,5e395cc3-0b6e-4ce1-86d5-b749ed0ab523,2024-06-08T03:26:35.644999,"""Is there a wallet available in carbon fiber, as I only see a cardholder option on the website?""",true
ekster,3a17b772-d36a-4d0d-bc17-27612239dd71,2024-06-08T03:20:13.589999,"""Can I change the shipping address to match my billing address?""",true
ekster,a29cd652-9bf2-43ab-808e-5cbb3d86d390,2024-06-08T02:44:31.351000,"""How can I get a replacement for my non-functioning wallet tracker?""",true
ekster,b52ac517-5818-4194-af6e-bc82ace28466,2024-06-08T02:19:00.624000,"""Can I order the replacement wallet before returning the original one instead of going through the exchange process?""",true
ekster,528a7a65-2e83-4e89-b273-934b2a89565a,2024-06-08T02:11:39.236000,"""Why was my order not processed earlier as per the advertised 4 to 6 days delivery promise?""",true
ekster,e06ab0ca-3d89-44ea-b579-87186c805b8c,2024-06-08T01:57:43.763999,"""What should I do if the tracking information shows my order as delivered but I have not received it?""",true
ekster,e06ab0ca-3d89-44ea-b579-87186c805b8c,2024-06-08T01:57:43.763999,"""Can a new wallet be issued if the ordered item was not received but is marked as delivered?""",true
